구,고급휘발유,휘발유,경유,실내등유,셀프여부,상표
강북구,1960.61,1575.74,1420,0,셀프,SK에너지
강북구,1898.29,1536.86,1360.71,0,셀프,SK에너지
강북구,1824.68,1454.23,1259.97,0,셀프,SK에너지
강북구,1661,1282.9,1082.77,0,셀프,SK에너지
강북구,1606.74,1239.32,1032.65,0,셀프,SK에너지
강북구,1762.73,1308.67,1118.2,0,셀프,현대오일뱅크
강서구,1717,1587.26,1413.55,1150,일반,현대오일뱅크
강서구,1699.07,1552.59,1385.38,1150,일반,현대오일뱅크
강서구,1655.39,1482.81,1304.68,1150,일반,현대오일뱅크
강서구,1538.67,1375,1198.6,1150,일반,현대오일뱅크
강서구,1497,1337.06,1157.06,1150,일반,현대오일뱅크
강서구,1491,1370.33,1182.33,0,일반,현대오일뱅크
강서구,0,1644.61,1482.97,0,셀프,S-OIL
강서구,0,1622.07,1456.93,0,셀프,S-OIL
강서구,0,1559.45,1385.87,0,셀프,S-OIL
강서구,0,1419.57,1241.57,0,셀프,S-OIL
강서구,0,1348.55,1168.1,0,셀프,S-OIL
강서구,0,1415.8,1227.57,0,셀프,S-OIL
강서구,0,1539.58,1383.16,1020,셀프,S-OIL
강서구,0,1509,1371.79,0,셀프,S-OIL
강서구,0,1432.94,1281.55,1020,셀프,S-OIL
강서구,0,1295.33,1127.67,1020,셀프,S-OIL
강서구,0,1223.52,1058.65,1020,셀프,S-OIL
강서구,0,1307.17,1116.83,1020,셀프,S-OIL
강서구,1843.52,1537.97,1362.52,0,셀프,SK에너지
강서구,1799,1507.21,1332.14,0,셀프,SK에너지
강서구,1780.29,1422.03,1226.77,0,셀프,SK에너지
강서구,1694.67,1263,1073.2,0,셀프,SK에너지
강서구,1689,1207.87,1014.13,0,셀프,SK에너지
강서구,1689,1315.53,1115.17,0,셀프,SK에너지
강서구,1799,1593.06,1429,0,일반,SK에너지
강서구,1799,1577.76,1411.76,0,일반,SK에너지
강서구,1799,1517.58,1342.03,0,일반,SK에너지
강서구,1732.33,1400.57,1213.17,0,일반,SK에너지
강서구,1689,1338.55,1154.35,0,일반,SK에너지
강서구,1689,1386,1198.67,0,일반,SK에너지
강서구,0,1564.13,1396.06,1250,일반,GS칼텍스
강서구,0,1545.24,1367.14,1250,일반,GS칼텍스
강서구,0,1461.94,1261.94,1250,일반,GS칼텍스
강서구,0,1335,1134.5,1250,일반,GS칼텍스
