"번호","지역","상호","주소","기간","상표","셀프여부","고급휘발유","휘발유","경유","실내등유"
"A0001224","서울 강남구","에스제이에너지산업(주) 개포주유소","서울 강남구 양재대로 339","2020년 09월","GS칼텍스","일반","1760.00","1498.00","1313.00","1150.00"
"A0001224","서울 강남구","에스제이에너지산업(주) 개포주유소","서울 강남구 양재대로 339","2020년 10월","GS칼텍스","일반","1750.00","1498.00","1298.00","1150.00"
"A0001224","서울 강남구","에스제이에너지산업(주) 개포주유소","서울 강남구 양재대로 339","2020년 11월","GS칼텍스","일반","1698.00","1465.33","1260.67","1150.00"
"A0001224","서울 강남구","에스제이에너지산업(주) 개포주유소","서울 강남구 양재대로 339","2020년 12월","GS칼텍스","일반","1737.10","1507.35","1304.61","1162.90"
"A0010269","서울 강남구","에쓰-오일㈜직영 개나리주유소","서울 강남구 언주로 423 (역삼동)","2020년 07월","S-OIL","일반","1560.81","1410.81","1240.81","0.00"
"A0010269","서울 강남구","에쓰-오일㈜직영 개나리주유소","서울 강남구 언주로 423 (역삼동)","2020년 08월","S-OIL","일반","1566.61","1416.61","1246.61","0.00"
"A0010269","서울 강남구","에쓰-오일㈜직영 개나리주유소","서울 강남구 언주로 423 (역삼동)","2020년 09월","S-OIL","일반","1565.00","1415.00","1244.00","0.00"
"A0010269","서울 강남구","에쓰-오일㈜직영 개나리주유소","서울 강남구 언주로 423 (역삼동)","2020년 10월","S-OIL","일반","1565.00","1415.00","1237.45","0.00"
"A0010269","서울 강남구","에쓰-오일㈜직영 개나리주유소","서울 강남구 언주로 423 (역삼동)","2020년 11월","S-OIL","일반","1565.00","1415.00","1215.00","0.00"
"A0010269","서울 강남구","에쓰-오일㈜직영 개나리주유소","서울 강남구 언주로 423 (역삼동)","2020년 12월","S-OIL","일반","1583.52","1432.87","1232.87","0.00"
"A0010267","서울 강남구","역삼주유소","서울 강남구 역삼로 205","2020년 07월","GS칼텍스","일반","1570.81","1414.35","1244.35","0.00"
"A0010267","서울 강남구","역삼주유소","서울 강남구 역삼로 205","2020년 08월","GS칼텍스","일반","1625.00","1425.00","1255.00","0.00"
"A0010267","서울 강남구","역삼주유소","서울 강남구 역삼로 205","2020년 09월","GS칼텍스","일반","1625.00","1417.67","1255.00","0.00"
"A0010267","서울 강남구","역삼주유소","서울 강남구 역삼로 205","2020년 10월","GS칼텍스","일반","1625.00","1415.00","1255.00","0.00"
"A0010267","서울 강남구","역삼주유소","서울 강남구 역삼로 205","2020년 11월","GS칼텍스","일반","1625.00","1415.00","1255.00","0.00"
"A0010267","서울 강남구","역삼주유소","서울 강남구 역삼로 205","2020년 12월","GS칼텍스","일반","1632.74","1432.10","1257.90","0.00"
"A0009835","서울 강남구","오일프러스 셀프","서울 강남구 남부순환로 2651 (도곡동)","2020년 07월","SK에너지","셀프","1529.77","1379.77","1169.71","0.00"
"A0009835","서울 강남구","오일프러스 셀프","서울 강남구 남부순환로 2651 (도곡동)","2020년 08월","SK에너지","셀프","1549.00","1388.19","1190.68","0.00"
"A0009835","서울 강남구","오일프러스 셀프","서울 강남구 남부순환로 2651 (도곡동)","2020년 09월","SK에너지","셀프","1548.13","1394.00","1192.97","0.00"
"A0009835","서울 강남구","오일프러스 셀프","서울 강남구 남부순환로 2651 (도곡동)","2020년 10월","SK에너지","셀프","1546.35","1385.61","1181.26","0.00"
"A0009835","서울 강남구","오일프러스 셀프","서울 강남구 남부순환로 2651 (도곡동)","2020년 11월","SK에너지","셀프","1537.00","1360.67","1156.50","0.00"
"A0009835","서울 강남구","오일프러스 셀프","서울 강남구 남부순환로 2651 (도곡동)","2020년 12월","SK에너지","셀프","1547.65","1375.97","1177.06","0.00"
"A0009837","서울 강남구","일원주유소","서울 강남구 양재대로55길 3 (일원동)","2020년 07월","S-OIL","셀프","0.00","1464.81","1254.81","1200.00"
"A0009837","서울 강남구","일원주유소","서울 강남구 양재대로55길 3 (일원동)","2020년 08월","S-OIL","셀프","0.00","1471.19","1264.77","1200.00"
"A0009837","서울 강남구","일원주유소","서울 강남구 양재대로55길 3 (일원동)","2020년 09월","S-OIL","셀프","0.00","1460.57","1259.87","1200.00"
"A0009837","서울 강남구","일원주유소","서울 강남구 양재대로55길 3 (일원동)","2020년 10월","S-OIL","셀프","0.00","1448.00","1235.42","1200.00"
"A0009837","서울 강남구","일원주유소","서울 강남구 양재대로55길 3 (일원동)","2020년 11월","S-OIL","셀프","0.00","1439.33","1230.33","1200.00"
"A0009837","서울 강남구","일원주유소","서울 강남구 양재대로55길 3 (일원동)","2020년 12월","S-OIL","셀프","0.00","1493.48","1288.97","1200.00"
"A0009829","서울 강남구","자곡셀프주유소","서울 강남구 밤고개로 120 (자곡동)","2020년 07월","SK에너지","셀프","0.00","1453.48","1244.48","0.00"
"A0009829","서울 강남구","자곡셀프주유소","서울 강남구 밤고개로 120 (자곡동)","2020년 08월","SK에너지","셀프","0.00","1459.94","1250.94","0.00"
"A0009829","서울 강남구","자곡셀프주유소","서울 강남구 밤고개로 120 (자곡동)","2020년 09월","SK에너지","셀프","0.00","1452.53","1247.27","0.00"
"A0009829","서울 강남구","자곡셀프주유소","서울 강남구 밤고개로 120 (자곡동)","2020년 10월","SK에너지","셀프","0.00","1401.48","1202.61","0.00"
"A0009829","서울 강남구","자곡셀프주유소","서울 강남구 밤고개로 120 (자곡동)","2020년 11월","SK에너지","셀프","0.00","1399.00","1199.00","0.00"
"A0009829","서울 강남구","자곡셀프주유소","서울 강남구 밤고개로 120 (자곡동)","2020년 12월","SK에너지","셀프","0.00","1415.58","1214.48","0.00"
"A0009838","서울 강남구","지에스칼텍스(주)직영 산성주유소","서울 강남구 헌릉로 730","2020년 07월","GS칼텍스","셀프","0.00","1384.35","1194.68","0.00"
"A0009838","서울 강남구","지에스칼텍스(주)직영 산성주유소","서울 강남구 헌릉로 730","2020년 08월","GS칼텍스","셀프","0.00","1385.00","1195.00","0.00"
"A0009838","서울 강남구","지에스칼텍스(주)직영 산성주유소","서울 강남구 헌릉로 730","2020년 09월","GS칼텍스","셀프","0.00","1385.00","1195.00","0.00"
"A0009838","서울 강남구","지에스칼텍스(주)직영 산성주유소","서울 강남구 헌릉로 730","2020년 10월","GS칼텍스","셀프","0.00","1380.35","1191.13","0.00"
"A0009838","서울 강남구","지에스칼텍스(주)직영 산성주유소","서울 강남구 헌릉로 730","2020년 11월","GS칼텍스","셀프","0.00","1372.47","1184.00","0.00"
"A0009838","서울 강남구","지에스칼텍스(주)직영 산성주유소","서울 강남구 헌릉로 730","2020년 12월","GS칼텍스","셀프","0.00","1398.55","1199.19","0.00"
"A0001199","서울 강남구","지에스칼텍스㈜ 삼성로주유소","서울 강남구 삼성로 563 (삼성동)","2020년 07월","GS칼텍스","셀프","1597.00","1441.00","1266.00","0.00"
"A0001199","서울 강남구","지에스칼텍스㈜ 삼성로주유소","서울 강남구 삼성로 563 (삼성동)","2020년 08월","GS칼텍스","셀프","1597.00","1441.00","1266.00","0.00"
"A0001199","서울 강남구","지에스칼텍스㈜ 삼성로주유소","서울 강남구 삼성로 563 (삼성동)","2020년 09월","GS칼텍스","셀프","1597.00","1441.00","1266.00","0.00"
