"번호","지역","상호","주소","기간","상표","셀프여부","고급휘발유","휘발유","경유","실내등유"
"A0010267","서울 강남구","역삼주유소","서울 강남구 역삼로 205","2020년 05월","GS칼텍스","일반","1498.71","1351.77","1199.06","0.00"
"A0010267","서울 강남구","역삼주유소","서울 강남구 역삼로 205","2020년 06월","GS칼텍스","일반","1523.33","1375.00","1211.67","0.00"
"A0009835","서울 강남구","오일프러스 셀프","서울 강남구 남부순환로 2651 (도곡동)","2020년 01월","SK에너지","셀프","1759.00","1586.00","1446.00","0.00"
"A0009835","서울 강남구","오일프러스 셀프","서울 강남구 남부순환로 2651 (도곡동)","2020년 02월","SK에너지","셀프","1753.14","1575.31","1435.31","0.00"
"A0009835","서울 강남구","오일프러스 셀프","서울 강남구 남부순환로 2651 (도곡동)","2020년 03월","SK에너지","셀프","1725.77","1508.77","1340.97","0.00"
"A0009835","서울 강남구","오일프러스 셀프","서울 강남구 남부순환로 2651 (도곡동)","2020년 04월","SK에너지","셀프","1591.67","1372.43","1169.90","0.00"
"A0009835","서울 강남구","오일프러스 셀프","서울 강남구 남부순환로 2651 (도곡동)","2020년 05월","SK에너지","셀프","1489.39","1281.13","1079.39","0.00"
"A0009835","서울 강남구","오일프러스 셀프","서울 강남구 남부순환로 2651 (도곡동)","2020년 06월","SK에너지","셀프","1505.00","1323.33","1121.00","0.00"
"A0009837","서울 강남구","일원주유소","서울 강남구 양재대로55길 3 (일원동)","2020년 01월","S-OIL","셀프","0.00","1655.39","1492.16","1300.00"
"A0009837","서울 강남구","일원주유소","서울 강남구 양재대로55길 3 (일원동)","2020년 02월","S-OIL","셀프","0.00","1609.52","1457.14","1300.00"
"A0009837","서울 강남구","일원주유소","서울 강남구 양재대로55길 3 (일원동)","2020년 03월","S-OIL","셀프","0.00","1544.23","1372.03","1300.00"
"A0009837","서울 강남구","일원주유소","서울 강남구 양재대로55길 3 (일원동)","2020년 04월","S-OIL","셀프","0.00","1406.70","1224.03","1256.67"
"A0009837","서울 강남구","일원주유소","서울 강남구 양재대로55길 3 (일원동)","2020년 05월","S-OIL","셀프","0.00","1361.06","1159.77","1200.00"
"A0009837","서울 강남구","일원주유소","서울 강남구 양재대로55길 3 (일원동)","2020년 06월","S-OIL","셀프","0.00","1457.00","1222.80","1200.00"
"A0009829","서울 강남구","자곡셀프주유소","서울 강남구 밤고개로 120 (자곡동)","2020년 01월","SK에너지","셀프","0.00","1628.00","1466.00","0.00"
"A0009829","서울 강남구","자곡셀프주유소","서울 강남구 밤고개로 120 (자곡동)","2020년 02월","SK에너지","셀프","0.00","1589.03","1427.72","0.00"
"A0009829","서울 강남구","자곡셀프주유소","서울 강남구 밤고개로 120 (자곡동)","2020년 03월","SK에너지","셀프","0.00","1542.45","1375.71","0.00"
"A0009829","서울 강남구","자곡셀프주유소","서울 강남구 밤고개로 120 (자곡동)","2020년 04월","SK에너지","셀프","0.00","1436.60","1246.60","0.00"
"A0009829","서울 강남구","자곡셀프주유소","서울 강남구 밤고개로 120 (자곡동)","2020년 05월","SK에너지","셀프","0.00","1363.61","1163.61","0.00"
"A0009829","서울 강남구","자곡셀프주유소","서울 강남구 밤고개로 120 (자곡동)","2020년 06월","SK에너지","셀프","0.00","1414.50","1210.50","0.00"
"A0009838","서울 강남구","지에스칼텍스(주)직영 산성주유소","서울 강남구 헌릉로 730","2020년 01월","GS칼텍스","셀프","0.00","1555.52","1392.61","0.00"
"A0009838","서울 강남구","지에스칼텍스(주)직영 산성주유소","서울 강남구 헌릉로 730","2020년 02월","GS칼텍스","셀프","0.00","1561.55","1397.28","0.00"
"A0009838","서울 강남구","지에스칼텍스(주)직영 산성주유소","서울 강남구 헌릉로 730","2020년 03월","GS칼텍스","셀프","0.00","1516.23","1348.74","0.00"
